"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Сервис объявлений","0","Объявления","43","13","Создание объявления","0"
"0","Сервис объявлений","0","Статистика","8","4","Получение статистики","0"
"0","Сервис объявлений","0","Объявления","21","5","HTTP-контракт","0"
"0","Сервис объявлений","0","Объявления","5","2","Получение объявлений продавца","0"
"0","Сервис объявлений","0","Объявления","5","2","Получение объявления","0"
"0","Сервис объявлений","0","Объявления","3","0","E2E","0"
"0","Сервис объявлений","0","Объявления","4","2","Удаление объявления","0"
